"Time","Indicator","Classification of Individual Consumption by Purpose (COICOP):Code","Classification of Individual Consumption by Purpose (COICOP):Name","Unit","Value"
"2010","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","92.9"
"2011","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","96.8"
"2012","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","99.7"
"2013","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","100.8"
"2014","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","100.9"
"2015","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","100.0"
"2016","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","100.9"
"2017","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","104.7"
"2018","Consumer price indices (2015 – 100)","00","Consumer goods and services","-","107.5"
"2010","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","88.3"
"2011","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","95.5"
"2012","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","98.5"
"2013","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","100.1"
"2014","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","100.9"
"2015","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","100.0"
"2016","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","101.2"
"2017","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","104.8"
"2018","Consumer price indices (2015 – 100)","01","Food and non-alcoholic beverages","-","106.4"
"2010","Consumer price indices (2015 – 100)","02","Alcoholic beverages, tobacco","-","87.9"
"2011","Consumer price indices (2015 – 100)","02","Alcoholic beverages, tobacco","-","88.8"
"2012","Consumer price indices (2015 – 100)","02","Alcoholic beverages, tobacco","-","91.9"
"2013","Consumer price indices (2015 – 100)","02","Alcoholic beverages, tobacco","-","94.6"
"2014","Consumer price indices (2015 – 100)","02","Alcoholic beverages, tobacco","-","98.1"
